"River Basin District","Management Catchment","Operational Catchment","Water Body ID","Water Body","Water Body Type","Easting","Northing","Ngr","Hydromorphological designation","Year","Status","Cycle","Classification Level","Classification Item","Classification ID","Certainty","Confidence","Deterioration Type","Linked Reasons","Investigation Outcome"
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2014","Does not require assessment","1","Component","Priority substances","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2014/item/wbc_10/cycle/1","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2009","High","1","Element","Ammonia (Annex 8)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2009/item/wbc_92/cycle/1","No Information","1",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2009","High","1","Element","pH","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2009/item/wbc_70/cycle/1","No Information","0.99",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2010","Good","1","Element","Dissolved oxygen","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2010/item/wbc_69/cycle/1","No Information","0.65",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2013","Does not require assessment","2","Component","Priority substances","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2013/item/wbc_10/cycle/2","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","High","2","Element","pH","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_70/cycle/2","No Information","0.99","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2013","High","1","Element","Ammonia (Phys-Chem)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2013/item/wbc_66/cycle/1","No Information","1","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2011","High","1","Element","Copper","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2011/item/wbc_79/cycle/1","No Information","1",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2015","High","2","Element","Temperature","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2015/item/wbc_74/cycle/2","No Information","0.81",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2009","High","1","Element","Zinc","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2009/item/wbc_91/cycle/1","No Information","1",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2012","High","1","Element","Ammonia (Phys-Chem)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2012/item/wbc_66/cycle/1","No Information","1",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2010","High","1","Element","Copper","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2010/item/wbc_79/cycle/1","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2014","High","2","Element","Temperature","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2014/item/wbc_74/cycle/2","No Information","0.89",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2013","Does not require assessment","1","Component","Priority substances","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2013/item/wbc_10/cycle/1","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2013","High","2","Element","Temperature","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2013/item/wbc_74/cycle/2","No Information","0.85",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2012","Does not require assessment","1","Component","Priority substances","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2012/item/wbc_10/cycle/1","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2016","Good","2","Element","Phosphate","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2016/item/wbc_71/cycle/2","No Information","0.97",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2011","High","1","Element","Ammonia (Phys-Chem)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2011/item/wbc_66/cycle/1","No Information","1",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2014","High","1","Element","Temperature","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2014/item/wbc_74/cycle/1","No Information","0.89","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2016","High","2","Element","pH","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2016/item/wbc_70/cycle/2","No Information","0.51","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2010","High","1","Element","Ammonia (Phys-Chem)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2010/item/wbc_66/cycle/1","No Information","1",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2013","High","1","Element","Temperature","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2013/item/wbc_74/cycle/1","No Information","0.85","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2011","Does not require assessment","1","Component","Priority substances","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2011/item/wbc_10/cycle/1","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2015","High","2","Element","pH","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2015/item/wbc_70/cycle/2","No Information","0.57",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2012","High","1","Element","Temperature","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2012/item/wbc_74/cycle/1","No Information","0.92",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2010","Does not require assessment","1","Component","Priority substances","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2010/item/wbc_10/cycle/1","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2014","High","2","Element","pH","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2014/item/wbc_70/cycle/2","No Information","0.84",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2011","High","1","Element","Temperature","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2011/item/wbc_74/cycle/1","No Information","0.9",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2014","Good","1","Element","Phosphate","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2014/item/wbc_71/cycle/1","No Information","1","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2014","High","1","Element","pH","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2014/item/wbc_70/cycle/1","No Information","0.84","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2013","High","2","Element","pH","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2013/item/wbc_70/cycle/2","No Information","0.97",,,
